Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,Log_Assets
ARKO,Arko Corp.,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,4010232000.0,-3219448000.0,-626846000.0,80314000.0,13710000,2739809000.0,0.8028084160716886,0.15631165478705472,0.020027270242719126,0.0034187548251572476,21.731154046887475
ARKO,Arko Corp.,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,7417398000.0,-6419401000.0,-755185000.0,142082000.0,59198000,2942275000.0,0.8654518740938534,0.10181265721483464,0.019155234760221847,0.00798096583195347,21.802448928584578
ARKO,Arko Corp.,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,9142799000.0,-8003074000.0,-139969000.0,167014000.0,71747000,3255170000.0,0.8753417853766664,0.01530920673198656,0.018267272418435537,0.007847378029419656,21.903510338585694
ARKO,Arko Corp.,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,9412731000.0,-8128963000.0,-165294000.0,130743000.0,34369000,3650364000.0,0.863613652615803,0.017560684566466415,0.013890017679247394,0.003651331372372163,22.0180927255959
ARKO,Arko Corp.,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,8731962000.0,-7459472000.0,-162920000.0,101884000.0,20845000,3620658000.0,0.8542721555590829,0.018657891548314112,0.011667939003857323,0.0023872069072219965,22.009921614222097
ASNA,"Ascena Retail Group, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-07-31,3718100000.0,-1836200000.0,-1421100000.0,228100000.0,-1141799999,2334099999.0,0.4938543879938678,0.3822113445039133,0.06134853823189263,-0.30709233183615287,21.570892214365983
ASO,"Academy Sports & Outdoors, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,5689233000.0,-3955188000.0,-1313647000.0,420398000.0,308764000,4384482000.0,0.6952058388186949,0.2309005449416468,0.07389361623965832,0.05427163907683162,22.201337325804065
ASO,"Academy Sports & Outdoors, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,6773128000.0,-4422033000.0,-1443148000.0,907947000.0,671381000,4584940000.0,0.6528789947569277,0.2130696481743738,0.13405135706869853,0.09912421557661394,22.246042856418725
ASO,"Academy Sports & Outdoors, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,6395073000.0,-4182571000.0,-1365953000.0,846549000.0,628001000,4595439000.0,0.654030219827045,0.21359459071069242,0.1323751894622626,0.0982007554878576,22.248330126819482
ASO,"Academy Sports & Outdoors, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-01-31,6159291000.0,-4049080000.0,-1432356000.0,677855000.0,519190000,4676713000.0,0.6573938461423563,0.2325520908169463,0.11005406304069738,0.08429379290570944,22.265861349685004
