Ticker,Company Name,Avg_Revenue,Avg_COGS_ratio,Avg_SGA_ratio,Avg_Operating_Margin,Avg_Net_Margin,Avg_ROA,Years
LESL,"Leslie's, Inc.",1359719200.0,0.5950130926175369,0.2942888566969691,0.11069805068549407,0.04998965899386662,0.06946999447412416,5
SBH,"Sally Beauty Holdings, Inc.",3730010800.0,0.4974098040261432,0.4125190924202965,0.09007110355356032,0.0466035466645613,0.06345178701597946,5
URBN,URBAN OUTFITTERS INC,4699531800.0,0.6870288096114529,0.25186139093802673,0.06110979945052046,0.04605572878802318,0.05693237877622796,5
ANF,ABERCROMBIE & FITCH CO /DE/,3953033400.0,0.3864605973528047,0.5355632849901751,0.07943515453564906,0.04523838242868985,0.06760532008015566,5
MELI,MERCADOLIBRE INC,11541400000.0,0.5398622984400004,0.19844261994126566,0.11320346914011752,0.042702571418683034,0.03500815285176383,5
GPC,GENUINE PARTS CO,20816219000.0,0.646847672541264,0.26987260683648806,0.06745278553219311,0.03898081809117428,0.050462374447484824,5
SVV,"Savers Value Village, Inc.",1491698333.3333333,0.6385875166404079,0.21225221156282018,0.10757119408888964,0.03774358397918215,0.03114898268662304,3
GES,GUESS INC,2585462600.0,0.5750228246697849,0.34992736272464803,0.07504981260556709,0.034012656587753334,0.038831786693420314,5
BBY,BEST BUY CO INC,46060200000.0,0.7780647950408092,0.17444209731355959,0.04749310764563125,0.03339705433439875,0.0939831616461175,5
KAR,Openlane Inc.,1485500000.0,0.5459349586578162,0.2817061831585728,0.10095162445139566,0.027823668531035278,0.005876328513029246,4
DXLG,"DESTINATION XL GROUP, INC.",471727000.0,0.5456624796956813,0.3825055094789628,0.03466173761869457,0.02662971343796163,0.06645407083451298,5
TTSH,"Tile Shop Holdings, Inc.",362935200.0,0.33571832215134817,0.6271876924469251,0.03709398540172674,0.02631660454532737,0.029085557665424262,5
ZUMZ,Zumiez Inc,979517400.0,0.6520940656749634,0.30954727882569133,0.038358655499345314,0.02524297987513473,0.029180406901666615,5
MOV,MOVADO GROUP INC,665822250.0,0.44147369403237424,0.45126213466256804,0.10726417130505776,0.02500426509587513,0.03650889343660893,4
SPWH,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",1368594800.0,0.6820783216008725,0.2876603153387186,0.03026136306040895,0.022760038268249547,0.048595687094202325,5
BRLT,"Brilliant Earth Group, Inc.",388086800.0,0.47001794984087564,0.4735504058577515,0.05643164430137284,0.019428534786721442,0.054479797849035415,5
CTRN,"Citi Trends, Inc.",814184000.0,0.6088422744672146,0.35451740161348333,0.012352034522766227,0.018823128270659305,0.03432155390590981,5
AEO,AMERICAN EAGLE OUTFITTERS INC,4586577000.0,0.6491027693898603,0.252727365937788,0.05885308776824444,0.01771741463678375,0.028823333444376653,3
FLWS,1 800 FLOWERS COM INC,1933808200.0,0.6022264809026157,0.31086570531317964,0.03351653742613577,0.016687727956133703,0.03300003908019688,5
BGFV,BIG 5 SPORTING GOODS Corp,975756600.0,0.6657814283416057,0.3062996023151573,0.02839917894512408,0.014652982143415677,0.02564952518734252,5
CURV,Torrid Holdings Inc.,1165053400.0,0.6310977074733927,0.3142924220959295,0.05460987043067782,0.013138561978949578,0.027815905716603456,5
DLTH,DULUTH HOLDINGS INC.,659338750.0,0.4781671238244299,0.4978891703154091,0.02394370586016105,0.012988520499448424,0.017036363699432833,4
KSS,KOHLS Corp,17436600000.0,0.6134420171408206,0.30958629510706187,0.030729486642760956,0.012372236625821525,0.016204775102776042,5
HOUR,"Hour Loop, Inc.",107275033.75,0.4776741367352202,0.5098946126905786,0.012431250574201266,0.011786511662409089,0.02636253261485639,4
EYE,"National Vision Holdings, Inc.",1803130200.0,0.40014396866978874,0.478562862245065,0.07026762759456233,0.011064480811433075,0.009065591860265055,5
TA_delisted,TRAVELCENTERS OF AMERICA LLC,7675957000.0,0.7737425748337706,0.026952646748559714,0.014104566139684438,0.006745444191958037,0.019185641691730707,3
GCO,GENESCO INC,2248637600.0,0.5282433881643719,0.4498073449700305,0.021949266865597623,0.006124676650894244,0.012110949894696982,5
ARKO,Arko Corp.,7743024400.0,0.8499593030771584,0.06690348512907454,0.016601546820896245,0.005057127393224906,0.012467441582437223,5
CHWY,"Chewy, Inc.",9848345200.0,0.7246241848585848,0.2769586585574433,-0.0015828434160280104,0.004052784642439111,0.014666384868924348,5
JWN,NORDSTROM INC,14148600000.0,0.6490273272487509,0.3439980196218263,0.0069746531294227155,-0.0015769423942228785,0.004880700756226182,5
ODP,OFFICE DEPOT INC,8126800000.0,0.782142892304379,0.1817270864658791,0.03613002122974189,-0.00472448094196531,-0.004931365995680429,5
LL,"Lumber Liquidators Holdings, Inc.",1066367750.0,0.6276534526962753,0.37305954071637,-0.0007129934126452638,-0.008280559751287466,-0.013251252235458685,4
TLYS,"TILLY'S, INC.",634367800.0,0.7047388374638051,0.2927496049188414,-0.0026837069291204218,-0.008294262903493239,-0.013986851971946157,5
CONN,CONNS INC,1389066500.0,0.5098627206328236,0.3833986092935471,0.0989547116639288,-0.010125554975060473,-0.0015307170856806787,4
LE,"LANDS' END, INC.",1490988800.0,0.5734339331192995,0.3675564756914741,0.030135195769243395,-0.012850321492612487,-0.024385269400985447,5
CPNG,"Coupang, Inc.",21121467800.0,0.7798490147357331,0.2393357868070151,-0.019184801542748136,-0.013227674656607244,-0.03353638281969167,5
M,"Macy's, Inc.",23163400000.0,0.6128036352364206,0.34808631640955273,0.039110048354026775,-0.01788414610123561,-0.007050483913773023,5
CVNA,CARVANA CO.,11289800000.0,0.8402992157235392,0.17302273476914584,-0.02262347691093273,-0.020132279295966973,-0.03393003721398467,5
BZUN,Baozun Inc.,1308693416.6,0.3057949862255755,0.3618439618606726,0.007703344723307781,-0.02085744822368029,-0.02205363718807176,5
PLCE,"Childrens Place, Inc.",1627044200.0,0.6911913087766932,0.27249899484483286,0.0038588159163230225,-0.02665567582153431,-0.04286018526971481,5
TCS,"The Container Store Group, Inc.",994811000.0,0.42298431705669404,0.4612331658489774,0.06829926000578872,-0.03499128040137772,-0.03731863068580077,4
JILL,"J.Jill, Inc.",569872800.0,0.33012045399317824,0.616338436427039,0.053541109579782684,-0.03648239619714631,-0.014635549934947228,5
W,Wayfair Inc.,12785000000.0,0.7076967094121098,0.2846249694238999,-0.03561150462099342,-0.041683076541459585,-0.14292887820686806,5
SFIX,"Stitch Fix, Inc.",1943598333.3333333,0.5563262456139584,0.494259516782789,-0.05058576239674747,-0.04869361506208871,-0.12299211103783507,3
